주차장코드,주차장명,주소2,주차장 종류명,"토요일 유,무료 구분명","공휴일 유,무료 구분명"
1247683,덕원주차장(구),서울특별시 동대문구 장안동 458-8,노외 주차장,무료,무료
1247684,청계주차장(구),서울특별시 동대문구 용두동 129-4,노외 주차장,무료,유료
1254863,영등포동제3공영(구),서울특별시 영등포구 영등포동4가 442-0,노외 주차장,무료,무료
1254864,신길1동공영(구),서울특별시 영등포구 신길동 120-82,노외 주차장,유료,유료
1268780,청파동1마을공원공영주차장(구),서울특별시 용산구 청파동3가 118-102,노외 주차장,무료,무료
1268812,청파동청사(구),서울특별시 용산구 청파동2가 91-1,노외 주차장,무료,무료
1268813,용산전자상가4(구),서울특별시 용산구 원효로3가 51-5,노외 주차장,무료,무료
1268816,후암동주차장(구),서울특별시 용산구 후암동 65-4,노외 주차장,무료,무료
1277144,영등포구청역 공영주차장(시),서울특별시 영등포구 당산동3가 370-3,노외 주차장,무료,무료
1277145,잠실역 공영주차장(시),서울특별시 송파구 신천동 27-0,노외 주차장,무료,무료
1277146,장안2동 공영주차장(시),서울특별시 동대문구 장안동 286-9,노외 주차장,무료,무료
1277157,해방촌노외 공영주차장(시),서울특별시 용산구 용산동2가 1-1497,노외 주차장,무료,무료
1277160,당산노외 공영주차장(시),서울특별시 영등포구 당산동3가 2-1,노외 주차장,무료,무료
1277163,명일동 공영주차장(시),서울특별시 강동구 명일동 47-9,노외 주차장,무료,유료
1364466,도곡로21길 7 공영주차장(구),서울특별시 강남구 역삼동 795-25,노외 주차장,무료,무료
1364468,탄천제2호 공영주차장(구),서울특별시 강남구 일원동 4-49,노외 주차장,무료,무료
1364472,영희초교 공영주차장(구),서울특별시 강남구 일원동 617-0,노외 주차장,무료,무료
1365707,배봉공영주차장(구),서울특별시 동대문구 휘경동 286-66,노외 주차장,무료,무료
1366393,하늘공원주차장(구),서울특별시 구로구 가리봉동 1-11,노외 주차장,무료,무료
1366394,개봉1동마을공동주차장(구),서울특별시 구로구 개봉동 416-2,노외 주차장,유료,유료
1366395,개봉1동 노외주차장(구),서울특별시 구로구 개봉동 134-8,노외 주차장,무료,무료
1366487,양재시민의숲(매헌)역 공영주차장(구),서울특별시 서초구 양재동 237-2,노외 주차장,무료,무료
1366504,송정동(건물) 공영주차장(구),서울특별시 성동구 송정동 68-57,노외 주차장,무료,무료
1366527,동작대교 공영주차장(시),서울특별시 용산구 용산동6가 69-11,노외 주차장,무료,무료
1366575,망원동 공영주차장(시),서울특별시 마포구 망원동 478-10,노외 주차장,무료,무료
1366576,개화역 공영주차장(시),서울특별시 강서구 개화동 664-0,노외 주차장,무료,무료
1366590,신대방역 공영주차장(시),서울특별시 관악구 신림동 498-0,노외 주차장,무료,무료
1366593,구로디지털단지역(상) 공영주차장(시),서울특별시 관악구 신림동 1677-5,노외 주차장,무료,무료
1366600,학여울 공영주차장(시),서울특별시 강남구 대치동 514-1,노외 주차장,무료,무료
1366602,일원터널 공영주차장(시),서울특별시 강남구 일원동 722-1,노외 주차장,무료,무료
1366624,창동역(서) 공영주차장(시),서울특별시 도봉구 창동 330-0,노외 주차장,무료,무료
1366789,청암공영주차장(무인)(구),서울특별시 강북구 미아동 791-1694,노외 주차장,유료,유료
1366790,은혜공영주차장(무인)(구),서울특별시 강북구 미아동 791-1049,노외 주차장,무료,무료
1366791,송천동공영주차장(구),서울특별시 강북구 미아동 439-138,노외 주차장,무료,무료
1366792,수유일공원공영주차장(구),서울특별시 강북구 수유동 605-407,노외 주차장,무료,무료
1366793,번2동 공영주차장(무인)(구),서울특별시 강북구 번동 148-140,노외 주차장,유료,유료
1366794,미아동공영주차장(구),서울특별시 강북구 미아동 222-100,노외 주차장,무료,무료
1366795,수유동쌈지마당공영주차장(구),서울특별시 강북구 수유동 612-6,노외 주차장,무료,무료
1366869,당곡중학교공영 (지하주차장)(구),서울특별시 관악구 봉천동 682-0,노외 주차장,무료,무료
1366903,석계역 공영주차장(시),서울특별시 노원구 월계동 50-9,노외 주차장,무료,무료
1367120,동구로 공영주차장(시),서울특별시 구로구 구로동 94-1,노외 주차장,무료,무료
1367218,한마음주차장(구),서울특별시 양천구 목동 914-5,노외 주차장,무료,무료
1367264,적선동 주차장(시),서울특별시 종로구 적선동 140-0,노외 주차장,무료,무료
